id,radius_m,annual_mean_temp,annual_precipitation
EHI01345,200,15.362500190734863,612
EHI01256,200,17.405595021053866,254.59694653148907
EHI01272,400,8.221157452001169,802.1290263621996
EHI02760,400,9.216047939665371,1587.9667662477025
EHI01342,400,17.444473130410593,252.9916307714015
EHI02846,400,11.844513292463379,599.1705359507491
EHI01253,400,9.570676421923888,678.6452244632037
EHI02796,400,12.611934009633838,980.1517175693384
EHI01254,400,8.221157452001169,802.1290263621996
EHI02826,400,12.742557762424283,712.9465418329559
EHI02824,400,12.742557762424283,712.9465418329559
EHI02823,400,12.263957620361294,1016.5729246478253
EHI02840,400,11.819030803489998,1378.0407360109662
EHI01258,400,9.570676421923888,678.6452244632037
EHI02773,400,12.611934009633838,980.1517175693384
EHI02817,400,10.854632793574254,1138.4041996831863
EHI02772,400,12.742557762424283,712.9465418329559
EHI02806,400,10.854632793574254,1138.4041996831863
EHI02831,400,10.385885899680758,908.2958617124314
EHI01266,400,16.072689568394342,485.2992758444743
EHI01339,400,9.570676421923888,678.6452244632037
EHI02801,400,12.611934009633838,980.1517175693384
EHI02812,400,12.234260817422895,1023.7303707115738
EHI02836,400,11.860077807593687,626.148769862308
EHI02082,400,15.340307968173649,613.8847766162553
EHI02841,400,13.008333206176758,707
EHI02770,400,12.865677708346785,840.2838178778829
EHI02792,400,11.201942287914376,1115.6818941669933
EHI01341,400,16.072689568394342,485.2992758444743
EHI02098,400,15.340307968173649,613.8847766162553
EHI02776,400,12.234260817422895,1023.7303707115738
EHI02769,400,12.66591330385459,714.3695487288113
EHI01389,400,15.340307968173649,613.8847766162553
EHI02767,400,10.854632793574254,1138.4041996831863
EHI02819,400,12.803404160676047,1166.2005289979284
EHI02064,400,15.340307968173649,613.8847766162553
EHI02811,400,11.354917452379857,1423.253400057811
EHI01268,400,8.221157452001169,802.1290263621996
EHI02804,400,9.216047939665371,1587.9667662477025
EHI02780,400,11.819030803489998,1378.0407360109662
EHI02789,400,11.819030803489998,1378.0407360109662
EHI02835,400,12.803404160676047,1166.2005289979284
EHI01343,400,15.340307968173649,613.8847766162553
EHI02785,400,9.872372310354228,1042.7808141609717
EHI01271,400,17.444473130410593,252.9916307714015
EHI02843,400,13.008333206176758,707
EHI02779,400,10.385885899680758,908.2958617124314
EHI02822,400,11.354917452379857,1423.253400057811
EHI02797,400,9.216047939665371,1587.9667662477025
EHI02074,400,15.340307968173649,613.8847766162553
EHI02830,400,11.84676568959724,1372.308840342885
EHI02784,400,12.865677708346785,840.2838178778829
EHI02766,400,10.385885899680758,908.2958617124314
EHI02771,400,9.216047939665371,1587.9667662477025
EHI02768,400,12.66591330385459,714.3695487288113
EHI01270,400,15.340307968173649,613.8847766162553
EHI02832,400,11.844513292463379,599.1705359507491
EHI02844,400,13.008333206176758,707
EHI02829,400,11.845531545591248,1369.5965824630916
EHI01264,400,15.340307968173649,613.8847766162553
EHI02837,400,12.611934009633838,980.1517175693384
EHI02774,400,11.354917452379857,1423.253400057811
EHI02845,400,11.844513292463379,599.1705359507491
EHI02775,400,11.354917452379857,1423.253400057811
EHI01259,400,9.570676421923888,678.6452244632037
EHI01387,400,17.444473130410593,252.9916307714015
EHI01248,400,8.221157452001169,802.1290263621996
EHI01257,400,17.444473130410593,252.9916307714015
EHI02839,400,12.172569551852986,1045.657249966815
EHI01273,400,17.444473130410593,252.9916307714015
EHI02838,400,12.803404160676047,1166.2005289979284
EHI01265,400,8.221157452001169,802.1290263621996
EHI01345,400,15.340307968173649,613.8847766162553
EHI01256,400,17.444473130410593,252.9916307714015
