id	h1	pop_density_1km	annual_mean_temp	annual_precipitation	Overall_Density	devil_density_baseline
EHI02784	1.45359078436575	1.32068741321564	12.8658004762218	839.415838793884	55.899	0.197963053981463
EHI02766	4.2003133828254	17.4591445922852	10.4279871508039	899.003725055219	70.0035	0.19277235865593
EHI02771	1.53215924504174	0	9.32544018822999	1567.93353300696	75.81175	0.210193639000257
EHI02768	1.60827674233348	0.243050098419189	12.6516557823386	715.873530010924	74.98125	0.182188188036283
EHI01270	3.86707149844299	0.342087954282761	15.3612911800312	612.100440653441	24.8554	NA
EHI02832	3.96587398450338	0.104520842432976	11.8458337783813	599	52.095	0.156215300162633
EHI02844	3.99406328629865	1.56636345386505	13.7	675.3	20.237	0.147071500619253
EHI02829	1.08549269069169	1.6729199886322	11.8458333015442	1369.5	79.56	0.354327748219172
EHI01264	3.86707149844299	0.342087954282761	15.3612911800312	612.100440653441	24.8554	NA
EHI02837	1.0999912152753	6.24053001403809	12.5228820362252	988.487092917196	79.46925	0.281300981839498
EHI02774	1	0.8628089427948	11.3562498092651	1423	80	0.226075142621994
EHI02845	3.96587398450338	0.104520842432976	11.8458337783813	599	52.095	0.156215300162633
EHI02775	1	0.8628089427948	11.3562498092651	1423	80	0.226075142621994
EHI01259	3.62978427143395	0.0269408505409956	9.607899751644	673.371234438699	58.5585	0.364457716544469
EHI01387	2.08930255362623	0.000838228326756507	17.4066286340971	254.554267496023	22.45905	NA
EHI01248	1.03033278642612	0.0128326183184981	8.27916622161865	796	52.62925	0.248944163322449
EHI01257	2.08930255362623	0.000838228326756507	17.4066286340971	254.554267496023	22.45905	NA
EHI02839	1	0.110298447310925	12.1882442665608	1043.52832750142	80	0.116369557877382
EHI01273	2.08930255362623	0.000838228326756507	17.4066286340971	254.554267496023	22.45905	NA
EHI02838	2.02958750344767	3.10289692878723	12.8204867196524	1160.21621089033	77.72	0.345227360725403
EHI01265	1.03033278642612	0.0128326183184981	8.27916622161865	796	52.62925	0.248944163322449
EHI01345	3.86707149844299	0.342087954282761	15.3612911800312	612.100440653441	24.8554	NA
EHI01256	2.08930255362623	0.000838228326756507	17.4066286340971	254.554267496023	22.45905	NA
