EHI_plaintext	sample_code	species	region	sample_type	order	sex	country	latitude	longitude	singlem_fraction	reads_post_fastp	host_reads	reads_lost_fastp_percent	metagenomic_bases	host_bases	bases_lost_fastp_percent	diversity	C	Code	ENA_sample_accession	Tube ID	Captures ID	Specimen ID	Species	geographic location (region and locality)	SE Batch	Freshness	Sampling_events	Development	Weight (g)	Sampling date	Taxid	taxon_id1	broad_environment	local_environment	environmental medium	host body product	host taxid	taxon_id	Sequenced
EHI02836	AGN15	Trichosurus vulpecula	Northern Midlands, Tasmania	Faecal	Diprotodontia	Female	recKtBknH3LqSreF0	-41.7	147.24	60.68	20887064	81299	0.1500560862788701	2942310735	11061548	0.1988020920864294	18.9744681966916	0.78431847471945	AGN15		AGN15	SD0455601	SD04556	Trichosurus vulpecula	Northern Midlands, Tasmania	SEB028	< 6 hours	MS0104	Adult	1925.0	3/4/2023	9337	9337	1000221 - Temperate woodland	(DAZ) Eucalyptus amygdalina inland forest and woodland on Cainozoic deposits	animal	Faecal	9337	1861841	1
EHI02082	AEC24	Trichosurus vulpecula v. hypoleucus	Warren	Faecal	Diprotodontia	Male	recKtBknH3LqSreF0	-34.04	116.47	85.06	42490322	657632	0.0329456466315036	6101131720	94697133	0.0599109031589535	18.93771036	0.834838898	AEC24	ERS22455876	AEC24	SD0284001	SD02840	Trichosurus vulpecula	Warren	SEB019,SEB019,SEB019	< 6 hours	MS0075	Adult	1830.0	5/11/2022	9337	9337	1000221 - Temperate woodland	Open Forest 10m-30m. Jarrah/Marri Domiant	animal	Faecal	9337	1861841	1
EHI02841	AGO04	Trichosurus vulpecula	Green Beach, Tasmania	Faecal	Diprotodontia	Unknown	recKtBknH3LqSreF0	-41.07	146.72	73.96	40198702	482648	0.0480666556725076	5726770120	66720106	0.0853740292137095	18.9702197973217	0.832532806817744	AGO04		AGO04	SD0468701	SD04687	Trichosurus vulpecula	Green Beach, Tasmania	SEB028	< 6 hours	MS0104	Adult	2880.0	5/26/2023	9337	9337	1000221 - Temperate woodland	(DAD) Eucalyptus amygdalina forest and woodland on dolerite	animal	Faecal	9337	1861841	1
EHI02770	AGN73	Trichosurus vulpecula	Mount William, Tasmania	Faecal	Diprotodontia	Male	recKtBknH3LqSreF0	-41.04	148.24	63.71	23574948	114768	0.0360947436525626	3392955349	15636651	0.0708895036816696	18.3826116588389	0.841512036700287	AGN73		AGN73	SD0468501	SD04685	Trichosurus vulpecula	Mount William, Tasmania	SEB027	< 6 hours	MS0104	Adult	3740.0	5/21/2023	9337	9337	1000221 - Temperate woodland	(DAC) Eucalyptus amygdalina coastal forest and woodland	animal	Faecal	9337	1861841	1
EHI02792	AGN94	Trichosurus vulpecula	Ringarooma, Tasmania	Faecal	Diprotodontia	Male	recKtBknH3LqSreF0	-41.25	147.71	70.49	35472050	108660	0.0302158209654949	5109895973	15462248	0.0658389136216192	19.2507208888291	0.786656206045657	AGN94		AGN94	SD0468301	SD04683	Trichosurus vulpecula	Ringarooma, Tasmania	SEB028	< 6 hours	MS0104	Adult	2980.0	5/17/2023	9337	9337	1000245 - Cropland	(FAG) Agricultural land	animal	Faecal	9337	1861841	1
EHI01340	AED03	Trichosurus vulpecula	Ikara-Flinders Ranges National Park	Faecal	Diprotodontia	Unknown	recKtBknH3LqSreF0	-30.65	139.04	3.32	16739828	549883	0.0543734097464712	2247487899	78517930	0.1240320346632384	18.524919490059	0.686752256603581	AED03		AED03	SD0283101	SD02831	Trichosurus vulpecula	Ikara-Flinders Ranges National Park	SEB011	< 6 hours	MS0075	Adult		3/15/2022	9337	9337	1000218 - Xeric shrubland	rocky	animal	Faecal	9337	1861841	1
EHI01341	AEC56	Trichosurus vulpecula v. hypoleucus	Dryandra	Faecal	Diprotodontia	Unknown	recKtBknH3LqSreF0	-32.79	116.96	84.01	31334924	158302	0.0266231560311799	4539556423	23522716	0.0550276381501609	18.3578028186749	0.88778240040597	AEC56		AEC56	SD0285101	SD02851	Trichosurus vulpecula	Dryandra	SEB011	< 6 hours	MS0075	Adult		4/25/2022	9337	9337	1000221 - Temperate woodland	Open Forest 	animal	Faecal	9337	1861841	1
EHI02098	AEC24	Trichosurus vulpecula v. hypoleucus	Warren	Faecal	Diprotodontia	Male	recKtBknH3LqSreF0	-34.04	116.47	84.46	38557976	1022967	0.0487719904696555	5418680977	139932802	0.0857906855646647	18.60904505	0.908964547	AEC24	ERS22455876	AEC24	SD0284001	SD02840	Trichosurus vulpecula	Warren	SEB019,SEB019,SEB019	< 6 hours	MS0075	Adult	1830.0	5/11/2022	9337	9337	1000221 - Temperate woodland	Open Forest 10m-30m. Jarrah/Marri Domiant	animal	Faecal	9337	1861841	1
EHI02776	AGN12	Trichosurus vulpecula	Pioneer, Tasmania	Faecal	Diprotodontia	Female	recKtBknH3LqSreF0	-41.1	147.97	84.61	29842356	58963	0.0311363140075654	4330876113	8270565	0.0608333907441474	17.2016027203815	0.877099528820605	AGN12		AGN12	SD0462701	SD04627	Trichosurus vulpecula	Pioneer, Tasmania	SEB028	< 6 hours	MS0104	Sub-adult	2555.0	5/10/2023	9337	9337	1000221 - Temperate woodland	(DAC) Eucalyptus amygdalina coastal forest and woodland	animal	Faecal	9337	1861841	1
EHI02769	AGN11	Trichosurus vulpecula	Friendly Beaches, Tasmania	Faecal	Diprotodontia	Female	recKtBknH3LqSreF0	-42.01	148.27	71.51	16295170	127890	0.0543900795499465	2330229620	15625837	0.0924655620526025	19.3121874191636	0.716738850879404	AGN11		AGN11	SD0456201	SD04562	Trichosurus vulpecula	Friendly Beaches, Tasmania	SEB027	< 6 hours	MS0104	Adult	4660.0	3/13/2023	9337	9337	1000221 - Temperate woodland	(DTO) Eucalyptus tenuiramis forest and woodland on sediments	animal	Faecal	9337	1861841	1
EHI01389	AEC30	Trichosurus vulpecula v. hypoleucus	Warren	Faecal	Diprotodontia	Male	recKtBknH3LqSreF0	-34.04	116.47	87.37	38769046	1009159	0.02419762505453	5580675912	150555697	0.0383136389402433	18.7839599981431	0.888392484201531	AEC30		AEC30	SD0284601	SD02846	Trichosurus vulpecula	Warren	SEB011	< 6 hours	MS0075	Adult	1130.0	5/10/2022	9337	9337	1000221 - Temperate woodland	Open Forest 10m-30m. Jarrah/Marri Domiant	animal	Faecal	9337	1861841	1
EHI02767	AGN36	Trichosurus vulpecula	Ringarooma, Tasmania	Faecal	Diprotodontia	Unknown	recKtBknH3LqSreF0	-41.26	147.7	74.01	41653014	190375	0.0278515206079397	6001598654	27589923	0.0618899739806696	19.7494763535782	0.754674766515434	AGN36		AGN36	SD0468201	SD04682	Trichosurus vulpecula	Ringarooma, Tasmania	SEB027	< 6 hours	MS0104	Unknown	3665.0	5/16/2023	9337	9337	1000245 - Cropland	(FPH) Plantations for silviculture - hardwood	animal	Faecal	9337	1861841	1
EHI02819	AGN82	Trichosurus vulpecula	Rocky Cape, Tasmania	Faecal	Diprotodontia	Female	recKtBknH3LqSreF0	-40.89	145.48	73.55	25035276	19942	0.0319262448456005	3638455754	2853452	0.0613096291992933	20.1322325438739	0.648630360471713	AGN82		AGN82	SD0466101	SD04661	Trichosurus vulpecula	Rocky Cape, Tasmania	SEB028	< 6 hours	MS0104	Adult	3900.0	4/18/2023	9337	9337	1000221 - Temperate woodland	(NLM) Leptospermum lanigerum - Melaleuca squarrosa swamp forest	animal	Faecal	9337	1861841	1
EHI02064	AEC24	Trichosurus vulpecula v. hypoleucus	Warren	Faecal	Diprotodontia	Male	recKtBknH3LqSreF0	-34.04	116.47	84.61	34023062	521197	0.0426766827100965	4895204944	73958684	0.0678682969974323	19.52662752	0.74172077	AEC24	ERS22455876	AEC24	SD0284001	SD02840	Trichosurus vulpecula	Warren	SEB019,SEB019,SEB019	< 6 hours	MS0075	Adult	1830.0	5/11/2022	9337	9337	1000221 - Temperate woodland	Open Forest 10m-30m. Jarrah/Marri Domiant	animal	Faecal	9337	1861841	1
EHI02811	AGN37	Trichosurus vulpecula	Dip River, Tasmania	Faecal	Diprotodontia	Female	recKtBknH3LqSreF0	-41.03	145.4	70.08	30839716	98715	0.0293514364944181	4458504356	13750538	0.0616022991279798	19.6540532004169	0.753003858483783	AGN37		AGN37	SD0467701	SD04677	Trichosurus vulpecula	Dip River, Tasmania	SEB028	< 6 hours	MS0104	Sub-adult		4/25/2023	9337	9337	1000221 - Temperate woodland	(RMS) Nothofagus - Phyllocladus short rainforest	animal	Faecal	9337	1861841	1
EHI01268	AHQ54	Trichosurus vulpecula	Tasmania	Faecal	Diprotodontia	Male	recKtBknH3LqSreF0	-42.02	147.02	83.27	18056052	289794	0.0216033434452814	2608124582	43538943	0.042101884668882	17.7778335301892	0.899062607879323	AHQ54		AHQ54	SD0288801	SD02888	Trichosurus vulpecula	Tasmania	SEB011	< 6 hours	MS0075	Adult	3850.0	7/1/2021	9337	9337	1000198 - Mixed forest	unknown	animal	Faecal	9337	1861841	1
EHI02804	AGM55	Trichosurus vulpecula	Mersey Forests, Tasmania	Faecal	Diprotodontia	Male	recKtBknH3LqSreF0	-41.69	146.21	70.17	39110216	1082660	0.0352272097676797	5497421268	159371043	0.0697197373957732	18.93483107065	0.850324489798253	AGM55		AGM55	SD0458501	SD04585	Trichosurus vulpecula	Mersey Forests, Tasmania	SEB028	< 6 hours	MS0104	Adult	2850.0	3/28/2023	9337	9337	1000221 - Temperate woodland	(DAD) Eucalyptus amygdalina forest and woodland on dolerite	animal	Faecal	9337	1861841	1
EHI02780	AGN87	Trichosurus vulpecula	Inglis River, Tasmania	Faecal	Diprotodontia	Female	recKtBknH3LqSreF0	-41.09	145.6	70.67	31087942	284796	0.0338471137278559	4451781474	41239947	0.0691041103156716	19.3778371094523	0.770418774489825	AGN87		AGN87	SD0462201	SD04622	Trichosurus vulpecula	Inglis River, Tasmania	SEB028	< 6 hours	MS0104	Adult	3650.0	4/26/2023	9337	9337	1000221 - Temperate woodland	(NAD) Acacia dealbata forest	animal	Faecal	9337	1861841	1
EHI02789	AGN60	Trichosurus vulpecula	Inglis River, Tasmania	Faecal	Diprotodontia	Male	recKtBknH3LqSreF0	-41.09	145.6	74.34	38830346	1173774	0.0334688605508366	5434645424	170396074	0.0698946049872463	18.8053429872158	0.842385310059114	AGN60		AGN60	SD0460701	SD04607	Trichosurus vulpecula	Inglis River, Tasmania	SEB028	< 6 hours	MS0104	Adult	4050.0	4/24/2023	9337	9337	1000221 - Temperate woodland	(NAD) Acacia dealbata forest	animal	Faecal	9337	1861841	1
EHI02835	AGN92	Trichosurus vulpecula	Rocky Cape, Tasmania	Faecal	Diprotodontia	Male	recKtBknH3LqSreF0	-40.89	145.48	68.08	37324370	332551	0.0246188017888466	5326635410	46904442	0.0638377840038302	19.4533282834349	0.785206889633516	AGN92		AGN92	SD0466801	SD04668	Trichosurus vulpecula	Rocky Cape, Tasmania	SEB028	< 6 hours	MS0104	Adult		4/21/2023	9337	9337	1000221 - Temperate woodland	(NLM) Leptospermum lanigerum - Melaleuca squarrosa swamp forest	animal	Faecal	9337	1861841	1
EHI01343	AEC25	Trichosurus vulpecula v. hypoleucus	Warren	Faecal	Diprotodontia	Male	recKtBknH3LqSreF0	-34.04	116.47	90.81	35238286	750013	0.0250746722885299	5120370928	112255644	0.0348716780192154	18.4717705795555	0.894989972307286	AEC25		AEC25	SD0284701	SD02847	Trichosurus vulpecula	Warren	SEB011	< 6 hours	MS0075	Adult	1830.0	5/10/2022	9337	9337	1000221 - Temperate woodland	Open Forest 10m-30m. Jarrah/Marri Domiant	animal	Faecal	9337	1861841	1
EHI02785	AGM54	Trichosurus vulpecula	Mountain River, Tasmania	Faecal	Diprotodontia	Female	recKtBknH3LqSreF0	-42.93	147.12	76.56	30000076	101696	0.0348484458525611	4320443255	14638539	0.0702221485849198	18.6050872549458	0.8132794196128	AGM54		AGM54	SD0465001	SD04650	Trichosurus vulpecula	Mountain River, Tasmania	SEB028	< 6 hours	MS0104	Sub-adult	1820.0	2/17/2023	9337	9337	1000221 - Temperate woodland	(WDB) Eucalyptus delegatensis forest with broad-leaf shrubs	animal	Faecal	9337	1861841	1
EHI01271	AED57	Trichosurus vulpecula	Ikara-Flinders Ranges National Park	Faecal	Diprotodontia	Unknown	recKtBknH3LqSreF0	-30.65	139.04	93.95	17022416	58333	0.0184774513650222	2507187776	8773597	0.0328545532376767	18.4710463228709	0.839477165120996	AED57		AED57	SD0282701	SD02827	Trichosurus vulpecula	Ikara-Flinders Ranges National Park	SEB011	< 6 hours	MS0075	Adult		3/15/2022	9337	9337	1000218 - Xeric shrubland	rocky	animal	Faecal	9337	1861841	1
EHI02843	AGN55	Trichosurus vulpecula	Green Beach, Tasmania	Faecal	Diprotodontia	Female	recKtBknH3LqSreF0	-41.07	146.72	68.08	34102826	186417	0.0437865717822649	4812654913	25768852	0.0955655159876758	19.0528614472459	0.805101528960003	AGN55		AGN55	SD0468901	SD04689	Trichosurus vulpecula	Green Beach, Tasmania	SEB028	< 6 hours	MS0104	Sub-adult	1260.0	5/27/2023	9337	9337	1000221 - Temperate woodland	(NAV) Allocasuarina verticillata forest	animal	Faecal	9337	1861841	1
EHI02779	AGM46	Trichosurus vulpecula	Mountain River, Tasmania	Faecal	Diprotodontia	Unknown	recKtBknH3LqSreF0	-42.92	147.14	59.79	23704626	210165	0.0305958668094179	3291012144	29550201	0.0947007947562608	18.8332534419981	0.817547125677111	AGM46		AGM46	SD0455401	SD04554	Trichosurus vulpecula	Mountain River, Tasmania	SEB028	< 6 hours	MS0104	Unknown		2/17/2023	9337	9337	1000245 - Cropland	(FAG) Agricultural land	animal	Faecal	9337	1861841	1
EHI02822	AGN54	Trichosurus vulpecula	Dip River, Tasmania	Faecal	Diprotodontia	Unknown	recKtBknH3LqSreF0	-41.03	145.4	71.59	27827882	1814043	0.0434257274058385	3768083406	266269016	0.0754697672252734	19.3852130122842	0.744907212027421	AGN54		AGN54	SD0467201	SD04672	Trichosurus vulpecula	Dip River, Tasmania	SEB028	< 6 hours	MS0104	Adult		4/24/2023	9337	9337	1000245 - Cropland	(FAG) Agricultural land	animal	Faecal	9337	1861841	1
EHI02797	AGN43	Trichosurus vulpecula	Mersey Forests, Tasmania	Faecal	Diprotodontia	Female	recKtBknH3LqSreF0	-41.69	146.21	73.08	30948200	590824	0.047173827092046	4372497725	86506413	0.0847812693918074	18.6108372370255	0.844605271270343	AGN43		AGN43	SD0458001	SD04580	Trichosurus vulpecula	Mersey Forests, Tasmania	SEB028	< 6 hours	MS0104	Adult	3100.0	3/25/2023	9337	9337	1000221 - Temperate woodland	(DAD) Eucalyptus amygdalina forest and woodland on dolerite	animal	Faecal	9337	1861841	1
EHI02074	AEC23	Trichosurus vulpecula v. hypoleucus	Warren	Faecal	Diprotodontia	Male	recKtBknH3LqSreF0	-34.04	116.47	74.01	15032594	59940	0.0401570371804411	2167513252	7193557	0.0742883865931905	19.00885534	0.765592854	AEC23	ERS22455869	AEC23	SD0284101	SD02841	Trichosurus vulpecula	Warren	SEB019,SEB019,SEB019	< 6 hours	MS0075	Adult	1730.0	5/11/2022	9337	9337	1000221 - Temperate woodland	Open Forest 10m-30m. Jarrah/Marri Domiant	animal	Faecal	9337	1861841	1
EHI02830	AGN69	Trichosurus vulpecula	Inglis River, Tasmania	Faecal	Diprotodontia	Female	recKtBknH3LqSreF0	-41.08	145.61	61.49	40999024	11036926	0.0428904090433601	4183561573	1608315016	0.0986028296723797	19.1110346530965	0.809783552016592	AGN69		AGN69	SD0461301	SD04613	Trichosurus vulpecula	Inglis River, Tasmania	SEB028	< 6 hours	MS0104	Sub-adult	2100.0	4/24/2023	9337	9337	1000221 - Temperate woodland	(NAD) Acacia dealbata forest	animal	Faecal	9337	1861841	1
EHI02784	AGN31	Trichosurus vulpecula	Mount William, Tasmania	Faecal	Diprotodontia	Male	recKtBknH3LqSreF0	-41.04	148.24	77.06	30708792	144910	0.0313619548799418	4424561759	19685481	0.0654431129291759	17.6845525548779	0.901204432141751	AGN31		AGN31	SD0468601	SD04686	Trichosurus vulpecula	Mount William, Tasmania	SEB028	< 6 hours	MS0104	Adult	3045.0	5/22/2023	9337	9337	1000221 - Temperate woodland	(SHW) Wet heathland	animal	Faecal	9337	1861841	1
