id,radius_m,devil_density_baseline,devil_sd_baseline
EHI02817,400,0.37283553679784137,0.2388779123624166
EHI02772,400,0.14813210566838583,0.06318427373965581
EHI02806,400,0.37283553679784137,0.2388779123624166
EHI02831,400,0.19371516009171805,0.1617544194062551
EHI01266,400,NA,NA
EHI01339,400,0.3644577165444692,0.28600645065307617
EHI02801,400,0.28073452909787494,0.21053125957647958
EHI02812,400,0.11956177651882172,0.07049184292554855
EHI02836,400,0.10945104310909907,0.05652250970403353
EHI02082,400,NA,NA
EHI02841,400,0.14707150061925253,0.08091331273317337
EHI02770,400,0.20144382615884146,0.10082931071519852
EHI02792,400,0.38321197032928467,0.24580931663513184
EHI01341,400,NA,NA
EHI02098,400,NA,NA
EHI02776,400,0.11956177651882172,0.07049184292554855
EHI02769,400,0.17605791489283243,0.10554336756467819
EHI01389,400,NA,NA
EHI02767,400,0.37283553679784137,0.2388779123624166
EHI02819,400,0.34522736072540283,0.2542694906393687
EHI02064,400,NA,NA
EHI02811,400,0.2239743173122406,0.12598098317782083
EHI01268,400,0.2505923608938853,0.17035197714964548
EHI02804,400,0.21019363900025687,0.09287571907043457
EHI02780,400,0.46934468547503155,0.2906763553619385
EHI02789,400,0.46934468547503155,0.2906763553619385
EHI02835,400,0.34522736072540283,0.2542694906393687
EHI01343,400,NA,NA
EHI02785,400,0.1610456903775533,0.13993426660696665
EHI01271,400,NA,NA
EHI02843,400,0.14707150061925253,0.08091331273317337
EHI02779,400,0.19371516009171805,0.1617544194062551
EHI02822,400,0.2239743173122406,0.12598098317782083
EHI02797,400,0.21019363900025687,0.09287571907043457
EHI02074,400,NA,NA
EHI02830,400,0.3543277482191722,0.24187577764193216
EHI02784,400,0.20144382615884146,0.10082931071519852
EHI02766,400,0.19371516009171805,0.1617544194062551
EHI02771,400,0.21019363900025687,0.09287571907043457
EHI02768,400,0.17605791489283243,0.10554336756467819
EHI01270,400,NA,NA
EHI02832,400,0.15621530016263327,0.08829916268587112
EHI02844,400,0.14707150061925253,0.08091331273317337
EHI02829,400,0.3543277482191722,0.24187577764193216
EHI01264,400,NA,NA
EHI02837,400,0.28073452909787494,0.21053125957647958
EHI02774,400,0.2239743173122406,0.12598098317782083
EHI02845,400,0.15621530016263327,0.08829916268587112
EHI02775,400,0.2239743173122406,0.12598098317782083
EHI01259,400,0.3644577165444692,0.28600645065307617
EHI01387,400,NA,NA
EHI01248,400,0.2505923608938853,0.17035197714964548
EHI01257,400,NA,NA
EHI02839,400,0.1169488603870074,0.06895180543263753
EHI01273,400,NA,NA
EHI02838,400,0.34522736072540283,0.2542694906393687
EHI01265,400,0.2505923608938853,0.17035197714964548
EHI01345,400,NA,NA
EHI01256,400,NA,NA
