EHI_plaintext	sample_code	species	region	sample_type	order	sex	country	latitude	longitude	singlem_fraction	reads_post_fastp	host_reads	reads_lost_fastp_percent	metagenomic_bases	host_bases	bases_lost_fastp_percent	diversity	C
EHI02822	AGN54	Trichosurus vulpecula	Dip River, Tasmania	Faecal	Diprotodontia	Unknown	recKtBknH3LqSreF0	-41.03	145.4	71.59	27827882	1814043	0.0434257274058385	3768083406	266269016	0.07546976722527343	19.3852130122842	0.744907212027421
EHI02797	AGN43	Trichosurus vulpecula	Mersey Forests, Tasmania	Faecal	Diprotodontia	Female	recKtBknH3LqSreF0	-41.69	146.21	73.08	30948200	590824	0.047173827092046094	4372497725	86506413	0.08478126939180741	18.6108372370255	0.844605271270343
EHI02074	AEC23	Trichosurus vulpecula v. hypoleucus	Warren	Faecal	Diprotodontia	Male	recKtBknH3LqSreF0	-34.04	116.47	74.01	15032594	59940	0.04015703718044117	2167513252	7193557	0.07428838659319059	19.00885534	0.765592854
EHI02830	AGN69	Trichosurus vulpecula	Inglis River, Tasmania	Faecal	Diprotodontia	Female	recKtBknH3LqSreF0	-41.08	145.61	61.49	40999024	11036926	0.04289040904336017	4183561573	1608315016	0.09860282967237977	19.1110346530965	0.809783552016592
EHI02784	AGN31	Trichosurus vulpecula	Mount William, Tasmania	Faecal	Diprotodontia	Male	recKtBknH3LqSreF0	-41.04	148.24	77.06	30708792	144910	0.03136195487994187	4424561759	19685481	0.06544311292917593	17.6845525548779	0.901204432141751
EHI02766	AGM66	Trichosurus vulpecula	Mountain River, Tasmania	Faecal	Diprotodontia	Female	recKtBknH3LqSreF0	-42.92	147.14	77.42	30614658	185094	0.037349919713803414	4402039556	26262224	0.07170718374000085	18.8166466168637	0.803683360605738
EHI02771	AGM47	Trichosurus vulpecula	Mersey Forests, Tasmania	Faecal	Diprotodontia	Male	recKtBknH3LqSreF0	-41.69	146.21	67.59	32790366	541647	0.046561752217918584	4646456617	78674560	0.08405601207391955	18.6645206524267	0.860982688718052
EHI02768	AGM90	Trichosurus vulpecula	Friendly Beaches, Tasmania	Faecal	Diprotodontia	Male	recKtBknH3LqSreF0	-42.01	148.27	74.35	24758966	410592	0.05759191279605358	3510030729	57921344	0.09461300111071258	18.4283591557447	0.815450807410824
EHI01270	AEC37	Trichosurus vulpecula v. hypoleucus	Warren	Faecal	Diprotodontia	Male	recKtBknH3LqSreF0	-34.04	116.47	81.47	17874522	41823	0.03200527946253984	2608664028	6255568	0.055926879775974436	18.9098017941087	0.792918114766878
EHI02832	AGN02	Trichosurus vulpecula	Northern Midlands, Tasmania	Faecal	Diprotodontia	Female	recKtBknH3LqSreF0	-41.77	147.32	76.21	32077022	18413	0.06513446788593236	4584617435	2363983	0.10876788497055401	18.3819566948043	0.833844004657434
EHI02844	AGN83	Trichosurus vulpecula	Green Beach, Tasmania	Faecal	Diprotodontia	Female	recKtBknH3LqSreF0	-41.07	146.72	71.55	29493964	1769561	0.040750992651884754	4016967395	257831962	0.07312175471686089	19.451227908471	0.767570420242797
EHI02829	AGM98	Trichosurus vulpecula	Inglis River, Tasmania	Faecal	Diprotodontia	Male	recKtBknH3LqSreF0	-41.08	145.6	70.58	43472840	159585	0.041973285340072386	6169098487	20333202	0.09067501967899705	18.8717524852168	0.847623167962492
EHI01264	AEC29	Trichosurus vulpecula v. hypoleucus	Warren	Faecal	Diprotodontia	Male	recKtBknH3LqSreF0	-34.04	116.47	83.72	20094512	1282532	0.025957611864420138	2789984997	194713827	0.03548352890433737	18.7370419446759	0.834569264915156
EHI02837	AGN24	Trichosurus vulpecula	Forth, Tasmania	Faecal	Diprotodontia	Male	recKtBknH3LqSreF0	-41.21	146.24	66.55	39459172	1719548	0.048543894393004106	5355976679	233233891	0.10153740304034464	19.8436998736864	0.761917616000373
EHI02774	AGN91	Trichosurus vulpecula	Dip River, Tasmania	Faecal	Diprotodontia	Female	recKtBknH3LqSreF0	-41.03	145.4	69.08	30758468	221547	0.03870360787254701	4415696797	31638370	0.07338097363005991	18.7308097791931	0.801032994496075
EHI02845	AGN18	Trichosurus vulpecula	Northern Midlands, Tasmania	Faecal	Diprotodontia	Female	recKtBknH3LqSreF0	-41.77	147.32	70.5	20093432	1525	0.07717664837287053	2851145997	195490	0.12698354776929988	18.0509757364481	0.857904315044854
EHI02775	AGN58	Trichosurus vulpecula	Dip River, Tasmania	Faecal	Diprotodontia	Unknown	recKtBknH3LqSreF0	-41.03	145.4	77.2	29671656	44010	0.03625680818793653	4296575407	6253892	0.06828648358538447	18.8994189755167	0.797485440350734
EHI01259	AHQ46	Trichosurus vulpecula	Tasmania	Faecal	Diprotodontia	Female	recKtBknH3LqSreF0	-42.32	146.91	85.19	32017138	17143	0.02354378669167012	4757962906	2551853	0.03209457906126045	18.6396595531719	0.865440789140709
EHI01387	AED12	Trichosurus vulpecula	Ikara-Flinders Ranges National Park	Faecal	Diprotodontia	Unknown	recKtBknH3LqSreF0	-30.65	139.04	95.87	44882456	31038700	0.022792339146007312	2009089836	4644537522	0.03422165270912514	17.9595512422131	0.8587110974967
EHI01248	AHQ55	Trichosurus vulpecula	Tasmania	Faecal	Diprotodontia	Female	recKtBknH3LqSreF0	-42.02	147.02	85.82	74493664	34224	0.02107056103288707	11054479450	4968189	0.031110540932945963	17.1086655384124	0.971010002614859
EHI01257	AED56	Trichosurus vulpecula	Ikara-Flinders Ranges National Park	Faecal	Diprotodontia	Unknown	recKtBknH3LqSreF0	-30.65	139.04	100.0	54151454	187881	0.04353090999010878	8021392089	28219625	0.05213935824972915	18.4050084728621	0.900152043844184
EHI02839	AGN79	Trichosurus vulpecula	Pioneer, Tasmania	Faecal	Diprotodontia	Female	recKtBknH3LqSreF0	-41.11	147.96	68.47	44578196	41609	0.03755305600929515	6405161198	5429642	0.07729875189314439	17.9209158560305	0.914506308501456
EHI01273	AED66	Trichosurus vulpecula	Ikara-Flinders Ranges National Park	Faecal	Diprotodontia	Unknown	recKtBknH3LqSreF0	-30.65	139.04	88.97	33508312	669176	0.025332962566944506	4873489181	99650655	0.0356312247352375	19.0270625273558	0.850426585791752
EHI02838	AGO02	Trichosurus vulpecula	Rocky Cape, Tasmania	Faecal	Diprotodontia	Female	recKtBknH3LqSreF0	-40.89	145.48	60.51	43651456	62180	0.05333257457885654	6192706045	8130997	0.10348459121177256	19.0675867262564	0.845385378435797
EHI01265	AHQ56	Trichosurus vulpecula	Tasmania	Faecal	Diprotodontia	Female	recKtBknH3LqSreF0	-42.02	147.02	100.0	35913620	184055	0.025820558338705113	5301020012	27838593	0.03634247944356728	15.4982689984184	0.969341565612269
EHI01345	AEC35	Trichosurus vulpecula v. hypoleucus	Warren	Faecal	Diprotodontia	Male	recKtBknH3LqSreF0	-34.04	116.47	85.99	34795028	1160901	0.028047626214597332	4983270821	177845762	0.03887426785419723	19.0048008137565	0.876914436746777
EHI01256	AED65	Trichosurus vulpecula	Ikara-Flinders Ranges National Park	Faecal	Diprotodontia	Unknown	recKtBknH3LqSreF0	-30.65	139.04	89.07	42009278	73592	0.03135494075345879	6238163336	11186636	0.0393547549376575	19.0290273342439	0.866339562229
